,Name,Geschlecht,Partei,Amtsantritt,Amtsaustritt,Zeitspanne,act_Amtsaustritt,amtsdauer_tage,amtsdauer_jahre
62,Johann Briner,männlich,SP,1928-01-01,1942-01-01,1928-1942,1942-01-01,5114 days,14.001656433739228
80,Emil Klöti,männlich,SP,1907-01-01,1942-01-01,1907-1942,1942-01-01,12784 days,35.00140317734108
69,Jakob Anton Gschwend,männlich,SP,1922-01-01,1942-01-01,1922-1942,1942-01-01,7305 days,20.000410686051048
58,Emil Buomberger,männlich,CVP/Die Mitte,1933-01-01,1938-01-01,1933-1938,1938-01-01,1826 days,4.999418194761015
67,Niklaus Bernhard Kaufmann,männlich,SP,1923-01-01,1938-01-01,1923-1938,1938-01-01,5479 days,15.000992491290033
60,Willhelm Otto Sing,männlich,Demokraten,1932-01-01,1935-01-01,1932-1935,1935-01-01,1096 days,3.0007460796594043
73,Johann Gustav Kruck,männlich,FDP,1917-01-01,1934-01-01,1917-1934,1934-01-01,6209 days,16.999664606391644
59,Robert Briner,männlich,Demokraten,1933-01-01,1933-01-01,1933-1933,1933-01-01,0 days,0.0
71,Ulrich Ribi,männlich,EVP,1920-01-01,1933-01-01,1920-1933,1933-01-01,4749 days,13.002320376188424
70,Hermann H. Häberlin,männlich,FDP,1920-01-01,1932-01-01,1920-1932,1932-01-01,4383 days,12.000246411630629
64,Otto A. Hungerbühler,männlich,FDP,1928-01-01,1931-01-01,1928-1931,1931-01-01,1096 days,3.0007460796594043
65,Ernst Höhn,männlich,Demokraten,1925-01-01,1928-01-01,1925-1928,1928-01-01,1095 days,2.998008172652416
81,Hans Nägeli,männlich,Demokraten,1907-01-01,1928-01-01,1907-1928,1928-01-01,7670 days,20.999746743601854
66,P. Hermann Bertschinger,männlich,FDP,1925-01-01,1927-01-01,1925-1927,1927-01-01,730 days,1.9986721151016105
68,Paul Albert Rütsche,männlich,FDP,1923-01-01,1925-01-01,1923-1925,1925-01-01,731 days,2.001410022108599
75,Hans Kern,männlich,Demokraten,1914-01-01,1925-01-01,1914-1925,1925-01-01,4018 days,11.000910354079824
78,Paul B. Pflüger,männlich,SP,1910-01-01,1923-01-01,1910-1923,1923-01-01,4748 days,12.999582469181433
77,Arnold Bosshardt,männlich,FDP,1912-01-01,1922-01-01,1912-1922,1922-01-01,3653 days,10.001574296529018
76,Johann Adolf Streuli,männlich,FDP,1914-01-01,1922-01-01,1914-1922,1922-01-01,2922 days,8.000164274420419
72,Alfred Traber,männlich,SP,1919-01-01,1922-01-01,1919-1922,1922-01-01,1096 days,3.0007460796594043
74,Otto Ludwig Gottfried Lang,männlich,SP,1915-01-01,1920-01-01,1915-1920,1920-01-01,1826 days,4.999418194761015
93,Johann Jakob Vogelsanger,männlich,SP,1892-01-01,1919-01-01,1892-1919,1919-01-01,9861 days,26.998500995913673
89,Robert Billeter,männlich,FDP,1896-01-01,1917-01-01,1896-1917,1917-01-01,7670 days,20.999746743601854
83,H. Friedrich Erismann,männlich,SP,1901-01-01,1915-01-01,1901-1915,1915-01-01,5113 days,13.99891852673224
79,Heinrich Emil Schneebeli,männlich,FDP,1909-01-01,1914-01-01,1909-1914,1914-01-01,1826 days,4.999418194761015
95,Joseph Benjamin Fritschi,männlich,Demokraten,1892-01-01,1914-01-01,1892-1914,1914-01-01,8035 days,21.99908280115266
82,F. M. Heinrich Mousson,männlich,FDP,1904-01-01,1912-01-01,1904-1912,1912-01-01,2922 days,8.000164274420419
84,Melchior Heinrich Wyss,männlich,SP,1901-01-01,1910-01-01,1901-1910,1910-01-01,3287 days,8.999500331971225
98,Hans Konrad Pestalozzi,männlich,FDP,1881-01-01,1909-01-01,1881-1909,1909-01-01,10226 days,27.99783705346448
90,Elias Hasler,männlich,Demokraten,1892-01-01,1907-01-01,1892-1907,1907-01-01,5478 days,14.998254584283044
85,Robert Welti,männlich,FDP,1900-01-01,1907-01-01,1900-1907,1907-01-01,2556 days,6.998090309862626
88,Johannes Süss,männlich,FDP,1896-01-01,1904-01-01,1896-1904,1904-01-01,2921 days,7.997426367413431
87,Jakob Lutz,männlich,Demokraten,1897-01-01,1901-01-01,1897-1901,1901-01-01,1460 days,3.997344230203221
91,Johann Caspar Grob,männlich,Demokraten,1892-01-01,1901-01-01,1892-1901,1901-01-01,3287 days,8.999500331971225
86,Ernst Hermann Müller,männlich,Demokraten,1898-01-01,1901-01-01,1898-1901,1901-01-01,1095 days,2.998008172652416
